library,specimen_id,sample_accession,experiment_accession,run_accession,ncbi_taxid,scientific_name,family_taxid,family_name,country,prefix
CDM:ARX,TROM_V_123988,SAMEA8200874,ERX5310049,ERR5529588,140859,Carex_tomentosa,4609,Cyperaceae,Sweden,TV123988
BXA:CIC,TROM_V_173089,SAMEA8201469,ERX5310050,ERR5529589,180561,Scabiosa_columbaria,4200,Caprifoliaceae,Sweden,TV173089
BXA:CHO,TROM_V_742,SAMEA8202009,ERX5310051,ERR5529590,767568,Sparganium_erectum,4731,Typhaceae,Norway,TV742
BXA:CKH,TROM_V_135889,SAMEA8201080,ERX5310052,ERR5529591,212753,Trollius_asiaticus,3440,Ranunculaceae,Russia,TV135889
BXA:BPG,TROM_V_134420,SAMEA8200937,ERX5310053,ERR5529592,207273,Veronica_fruticans,156152,Plantaginaceae,Norway,TV134420
BXA:CDA,TROM_V_90988,SAMEA8202155,ERX5310054,ERR5529593,311958,Draba_oblongata,3700,Brassicaceae,Greenland,TV90988
CDM:AMW,TROM_V_89636,SAMEA8202104,ERX5310055,ERR5529594,759843,Hedysarum_boreale_var_mackenziei,3803,Fabaceae,Canada,TV89636
CDM:AFM,TROM_V_135900,SAMEA8201084,ERX5310056,ERR5529595,41241,Rumex_acetosa,3615,Polygonaceae,Russia,TV135900
CDM:ATJ,TROM_V_51015,SAMEA8201863,ERX5310057,ERR5529596,1000416,Calamagrostis_varia,4479,Poaceae,Sweden,TV51015
BXA:CEI,TROM_V_164237,SAMEA8201378,ERX5310058,ERR5529597,4039,Daucus_carota,4037,Apiaceae,Sweden,TV164237
BXA:AGF,TROM_V_19678,SAMEA8201508,ERX5310059,ERR5529598,629255,Centaurea_triumfettii,4210,Asteraceae,Norway,TV19678
BXA:CKL,TROM_V_135952,SAMEA8201113,ERX5310060,ERR5529599,97978,Transberingia_bursifolia,3700,Brassicaceae,Canada,TV135952
CDM:ACF,TROM_V_67149,SAMEA8201979,ERX5310061,ERR5529600,2005315,Taraxacum_acromaurum,4210,Asteraceae,Svalbard,TV67149
BXA:CAQ,TROM_V_151237,SAMEA8201324,ERX5310062,ERR5529601,189328,Potamogeton_natans,16362,Potamogetonaceae,Norway,TV151237
CDM:ALX,TROM_V_37393,SAMEA8201814,ERX5310063,ERR5529602,300649,Salix_alba_var_vitellina,3688,Salicaceae,Norway,TV37393
BXA:ANC,TROM_V_90897,SAMEA8202154,ERX5310064,ERR5529603,1891521,Puccinellia_sp_finmarchica,4479,Poaceae,Norway,TV90897
BXA:BPR,TROM_V_36945,SAMEA8201812,ERX5310065,ERR5529604,3908,Vicia_sativa,3803,Fabaceae,Norway,TV36945
CDM:AAE,TROM_V_151344,SAMEA8201325,ERX5310066,ERR5529605,81729,Anthericum_ramosum,40552,Asparagaceae,Sweden,TV151344
CDM:ATV,TROM_V_75595,SAMEA8202015,ERX5310067,ERR5529606,240664,Carex_ligerica,4609,Cyperaceae,Sweden,TV75595
BXA:CLH,TROM_V_135748,SAMEA8201007,ERX5310068,ERR5529607,669627,Arenaria_humifusa,3568,Caryophyllaceae,Greenland,TV135748
BXA:BAK,TROM_V_350563,SAMEA8201788,ERX5310069,ERR5529608,430624,Elymus_fibrosus,4479,Poaceae,Norway,TV350563
BXA:CLI,TROM_V_135745,SAMEA8201006,ERX5310070,ERR5529609,1301376,Antennaria_monocephala_subsp_angustata,4210,Asteraceae,Greenland,TV135745
CDM:APN,TROM_V_60149,SAMEA8201897,ERX5310071,ERR5529610,240691,Carex_brunnescens,4609,Cyperaceae,Norway,TV60149
BXA:BAM,TROM_V_351305,SAMEA8201804,ERX5310072,ERR5529611,29668,Calamagrostis_epigeios,4479,Poaceae,Norway,TV351305
CDM:AAV,TROM_V_164217,SAMEA8201377,ERX5310073,ERR5529612,48039,Laserpitium_latifolium,4037,Apiaceae,Sweden,TV164217
CDM:ACR,TROM_V_85852,SAMEA8202063,ERX5310074,ERR5529613,2005312,Sorbus_neglecta,3745,Rosaceae,Norway,TV85852
BXA:CEQ,TROM_V_135869,SAMEA8201073,ERX5310075,ERR5529614,1301360,Eriophorum_triste,4609,Cyperaceae,Greenland,TV135869
BXA:CAP,TROM_V_126379,SAMEA8200877,ERX5310076,ERR5529615,29653,Scheuchzeria_palustris,27005,Scheuchzeriaceae,Norway,TV126379
CDM:AJP,TROM_V_158192,SAMEA8201333,ERX5310077,ERR5529616,13129,Lythrum_salicaria,3928,Lythraceae,Sweden,TV158192
CDM:AKT,TROM_V_135934,SAMEA8201104,ERX5310078,ERR5529617,102738,Saxifraga_tricuspidata,3792,Saxifragaceae,Greenland,TV135934
CDM:ASW,TROM_V_72629,SAMEA8202004,ERX5310079,ERR5529618,1220818,Carex_pediformis,4609,Cyperaceae,Norway,TV72629
BMB:HV,TROM_V_202130,SAMEA8201724,ERX5310080,ERR5529619,1534728,Viola_canina_subsp_montana,24921,Violaceae,Norway,TV202130
BXA:CDE,TROM_V_65034,SAMEA8201932,ERX5310081,ERR5529620,381151,Draba_corymbosa,3700,Brassicaceae,Svalbard,TV65034
BXA:CDS,TROM_V_63424,SAMEA8201914,ERX5310082,ERR5529621,1205702,Braya_glabella_subsp_purpurascens,3700,Brassicaceae,Svalbard,TV63424
BXA:CHB,TROM_V_64627,SAMEA8201919,ERX5310083,ERR5529622,347888,Eutrema_edwardsii,3700,Brassicaceae,Svalbard,TV64627
CDM:ACX,TROM_V_65366,SAMEA8201968,ERX5310084,ERR5529623,669750,Papaver_radicatum_subsp_dahlianum,3465,Papaveraceae,Svalbard,TV65366
BXA:CDZ,TROM_V_61840,SAMEA8201904,ERX5310085,ERR5529624,227213,Poa_abbreviata,4479,Poaceae,Svalbard,TV61840
BXA:CLZ,TROM_V_61077,SAMEA8201900,ERX5310086,ERR5529625,227222,Dupontia_fisheri,4479,Poaceae,Svalbard,TV61077
CDM:ACG,TROM_V_65504,SAMEA8201970,ERX5310087,ERR5529626,2005308,Potentilla_lyngei,3745,Rosaceae,Svalbard,TV65504
BXA:CEK,TROM_V_66143,SAMEA8201972,ERX5310088,ERR5529627,286984,Ranunculus_pygmaeus,3440,Ranunculaceae,Svalbard,TV66143
BXA:CLU,TROM_V_57323,SAMEA8201888,ERX5310089,ERR5529628,464048,Festuca_edlundiae,4479,Poaceae,Svalbard,TV57323
CDM:AEW,TROM_V_60602,SAMEA8201899,ERX5310090,ERR5529629,669826,Saxifraga_hyperborea,3792,Saxifragaceae,Svalbard,TV60602
BXA:CMQ,TROM_V_65472,SAMEA8201969,ERX5310091,ERR5529630,363810,Polemonium_boreale,24584,Polemoniaceae,Svalbard,TV65472
CDM:AJV,TROM_V_81991,SAMEA8202037,ERX5310092,ERR5529631,209194,Anthyllis_vulneraria_subsp_lapponica,3803,Fabaceae,Norway,TV81991
BXA:ANK,TROM_V_47225,SAMEA8201847,ERX5310093,ERR5529632,1891516,Poa_arctica_subsp_tromsensis,4479,Poaceae,Norway,TV47225
BXA:CDR,TROM_V_90267,SAMEA8202136,ERX5310094,ERR5529633,669642,Caltha_arctica,3440,Ranunculaceae,Canada,TV90267
BXA:CDP,TROM_V_90269,SAMEA8202137,ERX5310095,ERR5529634,271549,Cerastium_beeringianum,3568,Caryophyllaceae,Canada,TV90269
CDM:AVI,TROM_V_167013,SAMEA8201408,ERX5310096,ERR5529635,29618,Thelypteris_palustris,29616,Thelypteridaceae,Finland,TV167013
CDM:AIP,TROM_V_89720,SAMEA8202109,ERX5310097,ERR5529636,269081,Silene_ostenfeldii,3568,Caryophyllaceae,Canada,TV89720
BXA:CIK,TROM_V_7454,SAMEA8202010,ERX5310098,ERR5529637,147635,Ranunculus_sceleratus,3440,Ranunculaceae,Norway,TV7454
CDM:AOQ,TROM_V_90293,SAMEA8202139,ERX5310099,ERR5529638,741073,Carex_marina_subsp_marina,4609,Cyperaceae,Canada,TV90293
CDM:AIU,TROM_V_650840,SAMEA8201942,ERX5310100,ERR5529639,184985,Androsace_septentrionalis,4335,Primulaceae,Canada,TV650840
CDM:AHH,TROM_V_90283,SAMEA8202138,ERX5310101,ERR5529640,381272,Suaeda_calceoliformis,1804623,Chenopodiaceae,Canada,TV90283
BXA:CLS,TROM_V_61992,SAMEA8201905,ERX5310102,ERR5529641,368343,Anthoxanthum_monticola,4479,Poaceae,Svalbard,TV61992
CDM:AHO,TROM_V_112905,SAMEA8200859,ERX5310103,ERR5529642,39899,Silene_noctiflora,3568,Caryophyllaceae,Finland,TV112905
BXA:CDC,TROM_V_82817,SAMEA8202044,ERX5310104,ERR5529643,311954,Draba_micropetala,3700,Brassicaceae,Svalbard,TV82817
BXA:CCW,TROM_V_66325,SAMEA8201973,ERX5310105,ERR5529644,1301454,Saxifraga_flagellaris_subsp_platysepala,3792,Saxifragaceae,Svalbard,TV66325
BXA:CDW,TROM_V_89749,SAMEA8202111,ERX5310106,ERR5529645,401881,Artemisia_borealis_subsp_richardsoniana,4210,Asteraceae,Canada,TV89749
